registrationID,idCliente
351549470,1
14107899,2
1625698355,3
1445279857,4
1836850455,5
1281975940,6
104950539,7
1555435705,8
1386218756,9
2001143196,10
1195006666,11
1902338107,12
1489124488,13
1553358045,14
720338315,15
1969771809,16
652829856,17
415572054,18
1125194319,19
853625851,20
1404577070,21
828275655,22
1330739675,23
2125991768,24
189362669,25
1242117068,26
1892105107,27
2142906486,28
403781966,29
323237262,30
378732776,31
1813398120,32
838874969,33
2090874049,34
1855008767,35
1954495637,36
1958097377,37
724202134,38
426708390,39
1122856533,40
1583551110,41
1968127178,42
659774080,43
647251957,44
910302476,45
1011970699,46
1412628642,47
1973773860,48
567028064,49
116863198,50
1620144524,51
334198611,52
39668131,53
870603322,54
1686380654,55
2085892156,56
822161105,57
466296064,58
1857094130,59
1054747332,60
307823920,61
1546262172,62
1939174704,63
2010125301,64
911965875,65
1251295760,66
487271239,67
10828667,68
421206449,69
1738877893,70
66784193,71
1895629067,72
1352953391,73
530214061,74
491133058,75
1999578643,76
387675342,77
2029202377,78
2018977681,79
2074493245,80
423825055,81
999847528,82
71791314,83
937319050,84
2112169164,85
1037466744,86
914049579,87
1047341770,88
804678228,89
1950167703,90
1428178376,91
2001408103,92
1545954385,93
2008448172,94
1123826125,95
280837045,96
643508749,97
1194937653,98
1219646863,99
929040041,100
1793752623,101
1358592510,102
2119266280,103
896095087,104
2069910603,105
676013425,106
977226734,107
963774004,108
1987449508,109
838495258,110
1842031430,111
1960322068,112
2112764034,113
495199728,114
1419929125,115
1025782343,116
1280395431,117
1815373974,118
794627580,119
1601839029,120
721295493,121
1319064573,122
2007384665,123
1582382667,124
1725314236,125
1700296162,126
779763098,127
771969253,128
1645419400,129
1843033568,130
1563388597,131
1345548042,132
1596474842,133
1039401682,134
527111985,135
1678979188,136
1731150283,137
111618305,138
682976187,139
460866451,140
1598488829,141
1584989732,142
1770589265,143
508642162,144
1011304458,145
594899871,146
608849369,147
821432672,148
1924355668,149
1700927472,150
17569782,151
331249788,152
1275603483,153
762327084,154
752972718,155
2094934187,156
1123312069,157
1291803003,158
1724390815,159
830098845,160
1543910430,161
1100513179,162
213975488,163
415590187,164
233858508,165
1966102955,166
1827690815,167
1906313348,168
1878353678,169
876302759,170
